,title,uploaded_at,duration,views,likes,comments,channel
48,Behind the Scenes - Eminem Jimmy Kimmel Live “Venom” Performance – Presented by Google Pixel 3,2018-10-18 18:33:07,5.28,1125927.0,61781.0,3440,EminemMusic
49,"Eminem Performs ""Venom"" from the Empire State Building on Jimmy Kimmel Live",2018-10-16 13:56:16,7.78,25810531.0,818894.0,32810,EminemMusic
50,Bodied - Uncensored Official Trailer - Produced by Eminem,2018-10-08 16:00:47,2.33,2257973.0,80206.0,5134,EminemMusic
51,Bodied - Official Trailer - Produced by Eminem.,2018-10-08 16:00:37,2.3,5200611.0,209572.0,12872,EminemMusic
52,Eminem - Venom,2018-10-05 17:00:00,4.93,738766447.0,10065796.0,341627,EminemMusic
53,Eminem x Sway - The Kamikaze Interview (Part 4),2018-09-15 03:20:19,17.05,4519412.0,146668.0,13608,EminemMusic
54,KILLSHOT [Official Audio],2018-09-14 18:55:13,4.23,443713591.0,6412225.0,178195,EminemMusic
55,Eminem x Sway - The Kamikaze Interview (Part 3),2018-09-14 00:00:02,15.62,6618568.0,150298.0,17851,EminemMusic
56,Eminem - Lucky You ft. Joyner Lucas,2018-09-13 15:00:06,5.82,183953894.0,3237314.0,179838,EminemMusic
57,Eminem x Sway - The Kamikaze Interview (Part 2),2018-09-13 00:00:48,13.75,8981115.0,210580.0,28916,EminemMusic
58,Eminem x Sway - The Kamikaze Interview (Part 1),2018-09-12 00:00:10,12.13,11977878.0,297517.0,32266,EminemMusic
59,Eminem - Fall,2018-09-04 17:00:02,5.2,215457193.0,3177942.0,192458,EminemMusic
60,Fall [Official Audio],2018-08-31 18:11:20,4.38,16011350.0,229038.0,12657,EminemMusic
61,Kamikaze [Official Audio],2018-08-31 05:33:34,3.62,41087690.0,628170.0,32642,EminemMusic
62,Lucky You (Feat. Joyner Lucas) [Official Audio],2018-08-31 05:33:28,4.1,127323185.0,1089082.0,52250,EminemMusic
63,Eminem - River ft. Ed Sheeran (LIVE AT TWICKENHAM 2018),2018-07-19 16:00:17,3.03,2367281.0,94826.0,4311,EminemMusic
64,Eminem - Framed,2018-04-03 16:00:04,5.53,29020055.0,664879.0,55803,EminemMusic
65,"""Framed"" (Official Video Trailer)",2018-03-28 16:00:09,0.5,1368273.0,20348.0,1041,EminemMusic
66,Eminem - Nowhere Fast (Extended Version) [Audio] ft. Kehlani,2018-03-17 04:00:01,4.67,16267624.0,318092.0,19292,EminemMusic
67,Eminem - River (Behind the Scenes) ft. Ed Sheeran,2018-03-14 15:40:39,4.23,3014233.0,96943.0,4470,EminemMusic
68,Eminem - Untouchable (Lyric Video),2018-02-16 05:00:00,6.2,4416315.0,147980.0,10539,EminemMusic
69,Eminem - River ft. Ed Sheeran (Official Video),2018-02-14 15:00:06,6.92,189531685.0,2642424.0,92738,EminemMusic
70,Eminem - River (Trailer: Boxing) ft. Ed Sheeran,2018-02-13 15:00:00,0.4,1201917.0,58124.0,3418,EminemMusic
71,Eminem - Walk On Water ft. Beyoncé (Official Behind The Scenes Video),2018-01-25 05:00:00,4.82,2024990.0,70211.0,3576,EminemMusic
72,Revival Pop Up,2018-01-09 21:28:46,4.27,335563.0,13760.0,786,EminemMusic
73,Eminem - Walk On Water (Official Video),2017-12-24 03:30:08,5.37,77219470.0,1259453.0,79980,EminemMusic
74,"""Walk On Water"" (Official Video Teaser)",2017-12-20 22:00:08,0.55,780853.0,20062.0,1338,EminemMusic
75,Eminem - River (Audio) ft. Ed Sheeran,2017-12-15 05:00:00,3.72,209420494.0,2095145.0,75879,EminemMusic
76,Eminem ft. Beyoncé - Walk On Water (Official Lyric Video),2017-12-15 01:08:30,5.13,6685386.0,158038.0,8327,EminemMusic
77,Eminem - Untouchable (Audio),2017-12-08 05:00:01,6.2,22916503.0,472845.0,79726,EminemMusic
78,Revival Album Art Reveal,2017-12-07 19:57:08,1.27,203964.0,8541.0,595,EminemMusic
79,EminemVEVO Live Stream,2017-12-04 13:53:43,0.0,0.0,375.0,0,EminemMusic
80,Walk On Water/Stan/Love The Way You Lie (Medley/Live From Saturday Night Live/2017),2017-11-19 19:06:44,8.77,13642651.0,384126.0,28576,EminemMusic
81,Eminem - Walk On Water (Audio) ft. Beyoncé,2017-11-10 17:00:03,5.08,62688847.0,1192231.0,119545,EminemMusic
82,Eminem - Partners In Rhyme: The True Story of Infinite (Official Trailer),2016-11-22 22:10:11,3.05,4394184.0,129649.0,6280,EminemMusic
83,Eminem - Infinite (F.B.T. Remix) (Official Audio),2016-11-18 00:10:49,4.2,13579777.0,287173.0,21395,EminemMusic
84,Eminem - Campaign Speech,2016-10-19 16:16:54,7.8,13300391.0,263974.0,38362,EminemMusic
85,Eminem - Phenomenal (Behind The Scenes),2015-10-28 04:00:01,8.92,6609252.0,121099.0,5552,EminemMusic
86,Southpaw X Soundtrack,2015-10-27 20:54:01,3.07,137523.0,4151.0,163,EminemMusic
87,"PRhyme ft. Logic ""Mode"" Lyric Video",2015-10-16 17:59:54,3.15,219431.0,7014.0,497,EminemMusic
88,Eminem - Phenomenal,2015-10-01 13:00:01,7.37,48423431.0,772882.0,46707,EminemMusic
89,Straight Outta Compton N.W.A's Impact,2015-08-13 19:48:47,1.42,162627.0,5879.0,110,EminemMusic
90,The Southpaw Sessions - Full Interview,2015-07-31 21:25:37,29.28,215480.0,5682.0,500,EminemMusic
91,The Southpaw Sessions - Clip 2,2015-07-30 21:12:24,0.55,38480.0,1354.0,93,EminemMusic
92,The Southpaw Sessions - Clip 3,2015-07-30 21:12:24,0.68,50781.0,1605.0,60,EminemMusic
93,The Southpaw Sessions - Clip 1,2015-07-30 21:12:24,0.37,56538.0,1565.0,49,EminemMusic
94,Eminem - Kings Never Die (Lyric Video) ft. Gwen Stefani,2015-07-29 19:00:02,4.95,61956458.0,587238.0,17345,EminemMusic
95,The Southpaw Sessions Round 3 with Eminem and Jake Gyllenhaal,2015-07-28 16:20:06,9.98,664188.0,11477.0,943,EminemMusic
96,Hitman: Agent 47 ft. Won't Back Down,2015-07-27 17:25:12,0.53,319473.0,7009.0,187,EminemMusic
97,The Southpaw Sessions at the YouTube Space (Teaser 2),2015-07-25 22:11:23,0.53,251874.0,6001.0,163,EminemMusic
98,The Southpaw Sessions Round 2 with Eminem and Jake Gyllenhaal,2015-07-24 15:39:55,9.97,622753.0,9880.0,728,EminemMusic
99,The Southpaw Sessions Round 1 with Eminem and Jake Gyllenhaal,2015-07-23 21:32:41,9.93,2574156.0,37108.0,2284,EminemMusic
100,"Final Southpaw Trailer ft. ""KIngs Never Die""",2015-07-23 01:00:21,1.02,178625.0,3574.0,108,EminemMusic
101,The Southpaw Sessions at the Youtube Space (Teaser),2015-07-22 17:55:08,0.42,109613.0,3534.0,156,EminemMusic
102,Behind the Scenes at Jake Gyllenhaal's Southpaw Training,2015-07-11 04:21:38,1.72,239978.0,5394.0,125,EminemMusic
103,Eminem - Kings Never Die (Audio) ft. Gwen Stefani,2015-07-10 04:00:01,4.92,43514428.0,386759.0,19057,EminemMusic
104,"Southpaw Trailer Featuring ""Kings Never Die""",2015-07-08 14:14:21,1.88,213520.0,5069.0,249,EminemMusic
105,Phenomenal Music Film (Selfie Clip),2015-07-07 17:01:53,0.28,444956.0,9896.0,446,EminemMusic
106,Southpaw Official Trailer #2 Featuring Phenomenal,2015-06-30 00:28:04,1.02,194419.0,3882.0,155,EminemMusic
107,Eminem - Phenomenal (Lyric Video),2015-06-17 18:00:00,4.78,49573968.0,412903.0,16840,EminemMusic
108,Eminem - Phenomenal (Audio Only),2015-06-02 03:47:50,4.7,5511494.0,49819.0,4963,EminemMusic
109,Southpaw - Official Trailer,2015-03-27 13:27:40,2.52,4045552.0,17957.0,1336,EminemMusic
110,Detroit Vs. Everybody (Behind The Scenes),2015-03-18 07:00:00,4.9,2802486.0,48726.0,1494,EminemMusic
111,Detroit Vs. Everybody (Lyric Video),2015-02-06 08:00:04,5.95,3436483.0,68639.0,2806,EminemMusic
112,"Eminem, Royce da 5'9"", Big Sean, Danny Brown, Dej Loaf, Trick Trick - Detroit Vs. Everybody",2015-01-23 17:00:05,6.02,62248089.0,630264.0,38765,EminemMusic
113,Eminem - Eminem Interview (CD:UK),2015-01-21 18:04:42,2.88,2822106.0,60254.0,1831,EminemMusic
114,"Eminem, Slaughterhouse, Yelawolf - CXVPHER (Behind The Scenes)",2014-12-18 08:00:06,6.47,2835251.0,37512.0,1663,EminemMusic
115,SHADYXV - TV Spot,2014-12-01 23:40:45,0.52,159125.0,5818.0,419,EminemMusic
116,"SHADYXV Quinceañera Episode 3 - ""Birthday Cake""",2014-11-25 21:31:00,0.5,145190.0,4634.0,177,EminemMusic
117,Eminem - Guts Over Fear ft. Sia,2014-11-24 17:00:02,5.55,246364486.0,1820543.0,54427,EminemMusic
118,"Eminem - ""Guts Over Fear"" ft. Sia [Official Teaser]",2014-11-21 17:00:16,0.27,287939.0,4357.0,173,EminemMusic
119,"Eminem - ""Lose Yourself"" - The Demo",2014-11-18 20:34:30,0.53,1468990.0,28208.0,1114,EminemMusic
120,"SHADYXV Quinceañera Episode 2 - ""Birthday Girl""",2014-11-13 17:00:13,0.5,145044.0,3826.0,128,EminemMusic
121,Beats x Eminem: Beat by Beat [TEASER],2014-11-12 21:42:00,0.37,266584.0,5048.0,277,EminemMusic
122,Vevo Presents: Shady CXVPHER (Official Video),2014-11-11 21:00:02,18.8,15527271.0,237838.0,22835,EminemMusic
123,Detroit Vs. Everybody,2014-11-11 05:00:00,5.97,9230159.0,111707.0,10825,EminemMusic
124,Vevo Presents: SHADY CXVPHER,2014-11-07 03:01:02,0.58,2340685.0,45901.0,2821,EminemMusic
125,"SHADYXV Quinceañera Episode 1 - ""Birthday Clown""",2014-11-06 17:00:52,0.5,176721.0,5489.0,0,EminemMusic
126,Eminem - Guts Over Fear ft. Sia (Lyric Video),2014-09-18 07:00:02,5.03,23663696.0,278035.0,15074,EminemMusic
127,Guts Over Fear ft. Sia featured in #Mayhem: Mayweather vs Maidana Trailer,2014-09-09 22:12:04,1.35,205419.0,3758.0,193,EminemMusic
128,The Equalizer Movie – New and Exclusive Online Trailer,2014-09-02 21:49:05,2.57,991259.0,4036.0,210,EminemMusic
129,Rick Rubin ALS Ice Bucket Challenge,2014-08-26 16:15:23,0.82,295111.0,4666.0,287,EminemMusic
130,Eminem #ALSIceBucketChallenge,2014-08-26 16:10:53,4.17,194274.0,8900.0,265,EminemMusic
131,Eminem - Guts Over Fear (Audio) ft. Sia,2014-08-25 22:01:00,5.02,12957536.0,171272.0,15160,EminemMusic
132,Eminem - Guts Over Fear ft. Sia,2014-08-25 04:19:18,5.02,8652041.0,92486.0,9816,EminemMusic
133,"Exclusive Preview: ""Guts Over Fear"" ft. Sia",2014-08-15 17:05:41,1.05,694228.0,7353.0,467,EminemMusic
134,Eminem - Headlights (Explicit) ft. Nate Ruess,2014-05-11 16:00:04,4.18,139418172.0,1263987.0,58297,EminemMusic
135,Headlights Teaser,2014-05-09 20:09:27,0.83,291646.0,6964.0,331,EminemMusic
136,Eminem - The Monster Explained (Behind The Scenes) ft. Rihanna,2014-04-03 15:30:02,3.33,4510957.0,78446.0,3692,EminemMusic
137,Eminem - The Monster (Edited) ft. Rihanna,2013-12-24 08:00:02,5.32,14815117.0,160759.0,5976,EminemMusic
138,Eminem ft. Rihanna - The Monster (Explicit) [Official Video],2013-12-17 00:50:00,5.32,870757997.0,5536683.0,159931,EminemMusic
139,Eminem - The Monster (Teaser) ft. Rihanna,2013-12-13 22:00:02,0.95,4891721.0,79126.0,3202,EminemMusic
140,Eminem - Rap God (Explicit),2013-11-27 16:50:00,6.17,1312291252.0,18206215.0,1189724,EminemMusic
141,Rap God Official Teaser,2013-11-22 00:25:01,0.45,1925462.0,70324.0,3020,EminemMusic
142,Eminem Celeb Playlist Update,2013-11-09 17:50:47,0.12,269550.0,5625.0,315,EminemMusic
143,Eminem - MTV EMAs,2013-11-08 18:34:54,0.27,1099636.0,8940.0,447,EminemMusic
144,Eminem MMLP 2 - Out Now,2013-11-08 07:13:00,0.27,805935.0,12001.0,431,EminemMusic
145,Eminem - Survival (Live on SNL),2013-11-05 22:56:37,3.38,4373037.0,64523.0,5004,EminemMusic
146,Eminem - Berzerk (Live on SNL),2013-11-05 18:49:36,4.42,4441369.0,84302.0,5748,EminemMusic
147,Call Of Duty: Ghosts X GameStop - MMLP2 Special Offer,2013-11-05 13:06:05,1.3,1252157.0,16554.0,851,EminemMusic
148,Eminem - The Monster ft. Rihanna (Audio),2013-10-28 23:30:01,4.22,102904609.0,809479.0,63180,EminemMusic
149,Eminem - Rap God (Audio),2013-10-14 21:31:05,6.12,70361569.0,621585.0,112462,EminemMusic
150,Eminem - Survival (Explicit),2013-10-08 16:55:01,4.53,177425139.0,1528294.0,152849,EminemMusic
151,Eminem - Berzerk,2013-10-08 07:00:01,4.33,2254216.0,57465.0,2430,EminemMusic
152,Eminem - Berzerk Explained: Behind The Scenes 1,2013-10-03 22:01:41,2.07,3063645.0,40651.0,2337,EminemMusic
153,Eminem - Berzerk (Official Music Video) (Explicit),2013-09-09 15:40:00,4.33,267316071.0,2044363.0,174739,EminemMusic
154,Eminem - Berzerk (Lyric Video),2013-09-06 23:50:15,4.15,12131811.0,84141.0,5065,EminemMusic
155,Eminem - Berzerk (Official Audio),2013-08-27 04:20:31,4.15,36888531.0,375251.0,77709,EminemMusic
156,Survival (Audio Only),2013-08-14 20:25:51,4.55,21135601.0,203869.0,28377,EminemMusic
157,Not Afraid by Eminem | Behind The Scenes Pt. 1 | Eminem,2013-02-08 18:42:47,3.45,254859.0,2967.0,165,EminemMusic
158,Not Afraid by Eminem | Behind The Scenes Pt. 2 | Eminem,2013-02-08 18:40:20,3.13,132097.0,1260.0,66,EminemMusic
159,"Shady 2.0 Boys (Detroit) by Eminem, Slaughterhouse, and Yelawolf | Eminem",2013-02-08 18:18:49,5.83,1852096.0,27033.0,2005,EminemMusic
160,Eminem - Detroit Rubber - Season 1 Trailer,2013-02-05 14:55:07,0.93,1864593.0,14776.0,1640,EminemMusic
161,Shady Records Hot 97 Summer Jam BBQ | Eminem,2012-06-08 18:40:27,2.07,200812.0,1307.0,204,EminemMusic
162,Shady 2.0 SXSW | Eminem,2012-03-22 01:21:46,3.47,151034.0,1891.0,148,EminemMusic
163,Shady Records Cypher 2011 | Behind The Scenes | Eminem,2011-10-12 08:11:14,3.05,554179.0,3953.0,659,EminemMusic
164,Bad Meets Evil Meets Europe Part 4 | Bad Meets Evil | Eminem,2011-09-12 15:15:20,3.5,199889.0,2689.0,257,EminemMusic
165,Lighters by Bad Meets Evil ft. Bruno Mars | Behind The Scenes | Eminem,2011-09-12 06:37:34,4.33,311873.0,3784.0,542,EminemMusic
166,Bad Meets Evil Meets Europe Part 3 | Bad Meets Evil | Eminem,2011-09-06 18:03:22,1.33,260814.0,2313.0,270,EminemMusic
167,Bad Meets Evil Meets Europe Part 2 | Bad Meets Evil | Eminem,2011-09-03 09:48:06,2.57,323187.0,3099.0,289,EminemMusic
168,Bad Meets Evil Meets Europe Part 1 | Bad Meets Evil | Eminem,2011-08-25 06:36:48,1.33,299124.0,2327.0,267,EminemMusic
169,Hip Hop Playlist | Bad Meets Evil | Eminem,2011-08-21 02:37:12,5.1,456396.0,2949.0,460,EminemMusic
170,Eminem - Space Bound (Official Video),2011-06-27 07:00:00,4.42,354086264.0,2317703.0,161909,EminemMusic
171,Playlist Intro | Bad Meets Evil | Eminem,2011-06-15 06:18:15,0.17,352547.0,3200.0,251,EminemMusic
172,Live Stream | Bad Meets Evil | Eminem,2011-06-14 21:16:46,21.28,2274542.0,63508.0,5064,EminemMusic
173,Live Chat with Bad Meets Evil | Bad Meets Evil | Eminem,2011-06-10 02:02:28,0.38,1166760.0,5128.0,859,EminemMusic
174,Bad Meets Evil | Commercial | Eminem,2011-06-07 01:56:53,0.5,568992.0,3995.0,358,EminemMusic
175,Fast Lane by Bad Meets Evil | Teaser | Eminem,2011-05-28 03:16:09,0.7,837236.0,5501.0,621,EminemMusic
176,"Eminem - Not Afraid (Behind The Scenes, Day 2)",2010-10-14 19:44:36,3.12,4947759.0,42256.0,2683,EminemMusic
177,"Eminem - Not Afraid (Behind The Scenes, Day 1)",2010-10-14 01:05:14,3.43,3607082.0,41300.0,3199,EminemMusic
178,Eminem - No Love ft. Lil Wayne,2010-10-02 00:25:37,5.25,95239302.0,585974.0,29751,EminemMusic
179,No Love by Eminem -  ft. Lil Wayne | Teaser | Eminem,2010-09-30 01:50:42,0.52,2042141.0,5021.0,799,EminemMusic
180,Eminem - No Love (Explicit Version) ft. Lil Wayne,2010-09-29 18:05:14,5.25,607302934.0,3063520.0,204648,EminemMusic
181,Eminem - The Real Slim Shady (Official Video - Clean Version),2010-09-15 16:41:05,4.48,756511862.0,6310666.0,167675,EminemMusic
182,Eminem - Love The Way You Lie ft. Rihanna,2010-08-05 19:09:46,4.45,2509657454.0,12553108.0,597796,EminemMusic
183,Recovery Testimonial | Eminem,2010-06-17 00:05:28,1.75,335427.0,1538.0,728,EminemMusic
184,Emwow: Vince for Eminem's Recovery (Extended Version) | Commercial | Eminem,2010-06-16 23:52:00,2.1,477879.0,6386.0,660,EminemMusic
185,Emwow: Vince for Eminem's Recovery | Commercial | Eminem,2010-06-15 21:11:36,0.52,964133.0,5278.0,779,EminemMusic
186,Black Ops Remix Ft. Won't Back Down by Eminem HD | Commercial | Eminem,2010-06-14 19:07:43,1.12,616414.0,6072.0,591,EminemMusic
187,Eminem - Not Afraid,2010-06-05 05:02:39,4.32,1710265143.0,11306987.0,869882,EminemMusic
188,Eminem - Not Afraid (Teaser),2010-04-29 23:26:33,4.2,3421580.0,23503.0,1466,EminemMusic
189,Eminem - Like Toy Soldiers (Official Music Video),2009-12-25 08:35:59,5.37,436943876.0,2019675.0,154598,EminemMusic
190,Eminem - Stan (Long Version) ft. Dido,2009-12-25 06:54:41,8.15,606337578.0,4982832.0,196221,EminemMusic
191,Eminem - Sing For The Moment (Official Music Video),2009-12-25 06:48:38,5.43,436193242.0,2163310.0,94231,EminemMusic
192,"Eminem - You Don't Know (Official Music Video) ft. 50 Cent, Cashis, Lloyd Banks",2009-12-25 06:41:03,4.4,420171599.0,2017194.0,69238,EminemMusic
193,Eminem - Mockingbird [Official Music Video],2009-12-25 04:20:46,4.3,673247362.0,4792663.0,193795,EminemMusic
194,"Eminem - A** Like That (Super Clean Version, Closed Captioned)",2009-12-25 01:55:02,5.25,147681076.0,1374113.0,34998,EminemMusic
195,Eminem - Role Model (Official Music Video),2009-12-25 01:14:00,3.98,32275253.0,273297.0,12456,EminemMusic
196,Eminem - Just Lose It (Official Music Video),2009-12-25 01:07:59,4.07,282982261.0,1554378.0,85153,EminemMusic
197,Eminem - Beautiful (Official Music Video),2009-11-26 01:47:17,4.25,436424653.0,2220061.0,135979,EminemMusic
198,My Name Is (Version 1 Dirty Version) by Eminem | Eminem,2009-09-10 23:33:34,4.13,107384.0,3224.0,129,EminemMusic
199,A** Like That (Super Clean Version) by Eminem | Eminem,2009-09-10 23:33:19,5.28,4137435.0,67442.0,989,EminemMusic
200,Mosh (Extra Clean Version) by Eminem | Eminem,2009-09-10 23:05:55,5.33,397243.0,5121.0,162,EminemMusic
201,Without Me (MTV Version) by Eminem | Eminem,2009-09-10 23:04:42,5.0,143663.0,5155.0,195,EminemMusic
202,Mosh (Dirty Version) by Eminem | Eminem,2009-09-10 22:34:41,5.32,3235733.0,65393.0,5734,EminemMusic
203,Cleanin' Out My Closet (BET Version) by Eminem | Eminem,2009-09-10 22:05:32,5.2,564387.0,11248.0,242,EminemMusic
204,3 a.m. (Explicit) by Eminem | Eminem,2009-09-10 21:33:37,5.42,104886.0,2718.0,192,EminemMusic
205,Without Me (BET Version) by Eminem | Eminem,2009-09-10 21:10:30,5.0,92916.0,3295.0,128,EminemMusic
206,The Real Slim Shady by Eminem | Eminem,2009-09-10 21:04:47,4.47,222080.0,9140.0,256,EminemMusic
207,Role Model by Eminem | Eminem,2009-09-10 20:20:35,3.98,86746.0,2726.0,127,EminemMusic
208,Like Toy Soldiers (Broadcast Mural Version) by Eminem | Eminem,2009-09-10 20:12:41,5.4,87865.0,2612.0,212,EminemMusic
209,Just Don't Give A F*** (Clean Version) by Eminem | Eminem,2009-09-10 19:58:07,3.82,70869.0,2020.0,127,EminemMusic
210,Just Lose It (Director's Cut) by Eminem | Eminem,2009-09-10 18:03:20,4.1,1720811.0,28590.0,539,EminemMusic
211,Without Me by Eminem | Eminem,2009-09-10 16:53:51,4.98,171280.0,5731.0,198,EminemMusic
212,Stan (Long Version) by Eminem ft. Dido | Eminem,2009-09-10 16:29:16,8.17,127833.0,3584.0,155,EminemMusic
213,Mosh (Dirty Version) by Eminem | Eminem,2009-09-10 15:54:39,5.33,100123.0,3155.0,246,EminemMusic
214,Guilty Conscience (Director's Cut) by Eminem ft. Dr. Dre | Eminem,2009-09-10 14:31:27,3.57,76803.0,2411.0,73,EminemMusic
215,The Way I Am (Clean Version) by Eminem | Eminem,2009-09-10 13:18:24,5.03,158123.0,4387.0,203,EminemMusic
216,Mockingbird by Eminem | Eminem,2009-09-10 13:18:10,4.32,131547.0,5692.0,219,EminemMusic
217,Just Lose It (BET Version) by Eminem | Eminem,2009-09-10 12:56:59,4.1,56489.0,2191.0,162,EminemMusic
218,Mosh (No Vote Slate) by Eminem | Eminem,2009-09-10 12:31:49,5.32,52109.0,1815.0,194,EminemMusic
219,Just Lose It (MTV Version) by Eminem | Eminem,2009-09-10 11:57:31,4.1,69727.0,2517.0,121,EminemMusic
